Time (IST),Latitude,Longitude,Course,kts,mph,meters,Rate,Reporting Facility,Time Diff,m/s,Dist from lp,tilt
Tue 16:14:18,30.3484,76.8986,163.0,423.0,487.0,10020.0,-297.0, FlightAware ADS-B  (AIP / VIAX) ,30.0,216.44444444444446,6493.333333333334,-1.3501641122029853
Tue 16:14:48,30.2958,76.9167,163.0,411.0,473.0,9876.0,-330.0, FlightAware ADS-B  (VIDD) ,30.0,210.22222222222223,6306.666666666667,-1.3083471436028264
Tue 16:15:19,30.2397,76.9361,163.0,408.0,470.0,9685.0,-427.0, FlightAware ADS-B  (LUH / VILD) ,31.0,208.88888888888889,6475.555555555556,-1.6902150243616816
Tue 16:15:49,30.1841,76.9552,163.0,411.0,473.0,9441.0,-495.0, FlightAware ADS-B  (VIDD) ,30.0,210.22222222222223,6306.666666666667,-2.2172822835890527
Tue 16:16:19,30.1285,76.9744,163.0,405.0,466.0,9190.0,-486.0, FlightAware ADS-B  (DEL / VIDP) ,30.0,207.11111111111111,6213.333333333333,-2.31520735496513
Tue 16:16:52,30.0697,76.9946,163.0,398.0,458.0,8931.0,-450.0, FlightAware ADS-B  (HSS / VIHR) ,33.0,203.55555555555554,6717.333333333333,-2.209699218040531
Tue 16:17:22,30.0179,77.0123,163.0,392.0,451.0,8717.0,-442.0, FlightAware ADS-B  (HSS / VIHR) ,30.0,200.44444444444446,6013.333333333334,-2.0394489576087933
Tue 16:17:53,29.9649,77.0305,163.0,387.0,445.0,8481.0,-465.0, FlightAware ADS-B  (IXC / VICG) ,31.0,197.77777777777777,6131.111111111111,-2.2059860023939866
Tue 16:18:23,29.9142,77.0479,163.0,383.0,441.0,8245.0,-472.0, FlightAware ADS-B  (IXC / VICG) ,30.0,196.0,5880.0,-2.3002443851632255
Tue 16:18:55,29.8601,77.0663,163.0,376.0,433.0,7993.0,-443.0, FlightAware ADS-B  (VIDX) ,32.0,192.44444444444446,6158.222222222223,-2.345249742357843
Tue 16:19:25,29.8107,77.0833,163.0,367.0,422.0,7788.0,-434.0, FlightAware ADS-B  (VIDX) ,30.0,187.55555555555554,5626.666666666666,-2.087956439696854
Tue 16:19:55,29.7607,77.1003,163.0,361.0,415.0,7559.0,-389.0, FlightAware ADS-B  (VIDD) ,30.0,184.44444444444446,5533.333333333334,-2.37189431016722
Tue 16:20:25,29.7156,77.1157,163.0,349.0,402.0,7399.0,-337.0, FlightAware ADS-B  (LHE / OPLA) ,30.0,178.66666666666666,5360.0,-1.710575880311153
Tue 16:20:56,29.6667,77.1323,164.0,337.0,388.0,7216.0,-405.0, FlightAware ADS-B  (IXC / VICG) ,31.0,172.44444444444446,5345.777777777778,-1.9617681541803453
Tue 16:21:26,29.6225,77.1473,163.0,333.0,383.0,6988.0,-464.0, FlightAware ADS-B  (VIDX) ,30.0,170.22222222222223,5106.666666666667,-2.558965092389712
Tue 16:22:00,29.5728,77.1642,163.0,330.0,380.0,6721.0,-436.0, FlightAware ADS-B  (IXC / VICG) ,34.0,168.88888888888889,5742.222222222222,-2.6650816294308557
Tue 16:22:31,29.5291,77.1791,164.0,323.0,372.0,6515.0,-465.0, FlightAware ADS-B  (DEL / VIDP) ,31.0,165.33333333333334,5125.333333333334,-2.3034815378177638
Tue 16:23:01,29.4837,77.1944,164.0,323.0,372.0,6248.0,-472.0, FlightAware ADS-B  (VIDD) ,30.0,165.33333333333334,4960.0,-3.085760289257982
Tue 16:23:31,29.4429,77.2083,163.0,319.0,367.0,6043.0,-430.0, FlightAware ADS-B  (IXC / VICG) ,30.0,163.11111111111111,4893.333333333333,-2.4010367740160463
Tue 16:23:51,29.4149,77.2161,174.0,313.0,360.0,5890.0,-444.0, FlightAware ADS-B  (VIDD) ,20.0,160.0,3200.0,-2.7404992813528377
Tue 16:24:07,29.3923,77.2104,206.0,302.0,348.0,5776.0,-222.0, FlightAware ADS-B  (VIDX) ,16.0,154.66666666666666,2474.6666666666665,-2.6403682472120873
Tue 16:24:26,29.3738,77.1896,238.0,300.0,345.0,5761.0,-117.0, FlightAware ADS-B  (VIDX) ,19.0,153.33333333333334,2913.3333333333335,-0.2950024565056656
Tue 16:24:46,29.367,77.1589,272.0,290.0,334.0,5700.0,-173.0, FlightAware ADS-B  (VIDX) ,20.0,148.44444444444446,2968.888888888889,-1.1773052599910137
